,Premise,Hypothesis,Label,Time Diff,Type,Prem Fixed,Temp Type
0,They got married on Saturday.,They got married before Friday.,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
1,They got married on Sunday.,They got married after Monday.,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
2,They got married on Thursday.,They got married after Saturday.,Contradiction,0.2857142857142857,SINGLE_day,True,Forward Past
3,They got married on Sunday.,They got married after Monday.,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
4,They got married on Friday.,They got married before Friday.,Contradiction,0.0,SINGLE_day,True,Forward Past
5,"On Wednesday, they got married.","Before Friday, they got married.",Entailment,0.2857142857142857,SINGLE_day,True,Backward Past
6,"On Saturday, they got married.","Before Friday, they got married.",Contradiction,0.14285714285714285,SINGLE_day,True,Backward Past
7,"On Thursday, they got married.","After Monday, they got married.",Entailment,0.42857142857142855,SINGLE_day,True,Backward Past
8,"On Monday, they got married.","After Thursday, they got married.",Contradiction,0.42857142857142855,SINGLE_day,True,Backward Past
9,"On Sunday, they got married.","After Sunday, they got married.",Contradiction,0.0,SINGLE_day,True,Backward Past
10,They got married after Saturday.,They got married before Saturday.,Contradiction,0.0,SINGLE_day,False,Forward Past
11,They got married before Friday.,They got married before Wednesday.,Neutral,0.2857142857142857,SINGLE_day,False,Forward Past
12,They got married before Wednesday.,They got married after Tuesday.,Neutral,0.14285714285714285,SINGLE_day,False,Forward Past
13,They got married after Sunday.,They got married after Tuesday.,Neutral,0.2857142857142857,SINGLE_day,False,Forward Past
14,They got married after Tuesday.,They got married before Tuesday.,Contradiction,0.0,SINGLE_day,False,Forward Past
15,"Before Monday, they got married.","Before Wednesday, they got married.",Entailment,0.2857142857142857,SINGLE_day,False,Backward Past
16,"After Wednesday, they got married.","Before Thursday, they got married.",Neutral,0.14285714285714285,SINGLE_day,False,Backward Past
17,"After Wednesday, they got married.","After Thursday, they got married.",Neutral,0.14285714285714285,SINGLE_day,False,Backward Past
18,"Before Saturday, they got married.","After Wednesday, they got married.",Neutral,0.42857142857142855,SINGLE_day,False,Backward Past
19,"After Tuesday, they got married.","After Wednesday, they got married.",Neutral,0.14285714285714285,SINGLE_day,False,Backward Past
20,They got married in Jul.,They got married before December.,Entailment,0.4166666666666667,MULTI_month,True,Forward Past
21,They got married in August.,They got married after Oct.,Contradiction,0.16666666666666666,MULTI_month,True,Forward Past
22,They got married in Aug.,They got married after July.,Entailment,0.08333333333333333,MULTI_month,True,Forward Past
23,They got married in Nov.,They got married after October.,Entailment,0.08333333333333333,MULTI_month,True,Forward Past
