,premise,hypothesis,label,duration_type,prem_fixed
0,in 60 seconds the showing will begin,the showing will begin in 1 minutes,Entailment,second_minute,False
1,in 60 seconds the President is giving a speech,the President is giving a speech in 2 minutes,Contradiction,second_minute,False
2,in 60 seconds the coffee will be ready to drink,the coffee will be ready to drink in 3 minutes,Contradiction,second_minute,False
3,in 60 seconds Luke will eat dinner,Luke will eat dinner in 4 minutes,Contradiction,second_minute,False
4,in 60 seconds the servers will be back up,the servers will be back up in 5 minutes,Contradiction,second_minute,False
5,in 60 seconds the oven will be ready,the oven will be ready in 6 minutes,Contradiction,second_minute,False
6,in 60 seconds class will start,class will start in 7 minutes,Contradiction,second_minute,False
7,in 60 seconds class will end,class will end in 8 minutes,Contradiction,second_minute,False
8,in 60 seconds class will start,class will start in 9 minutes,Contradiction,second_minute,False
9,in 60 seconds the webpage should finish loading,the webpage should finish loading in 10 minutes,Contradiction,second_minute,False
10,in 120 seconds commercial break is over,commercial break is over in 1 minutes,Contradiction,second_minute,False
11,in 120 seconds the showing will begin,the showing will begin in 2 minutes,Entailment,second_minute,False
12,in 120 seconds we will collect the exams,we will collect the exams in 3 minutes,Contradiction,second_minute,False
13,in 120 seconds the next song is ready to play,the next song is ready to play in 4 minutes,Contradiction,second_minute,False
14,in 120 seconds dinner will be ready,dinner will be ready in 5 minutes,Contradiction,second_minute,False
15,in 120 seconds the grocery store will close,the grocery store will close in 6 minutes,Contradiction,second_minute,False
16,in 120 seconds the servers will be back up,the servers will be back up in 7 minutes,Contradiction,second_minute,False
17,in 120 seconds the showing will begin,the showing will begin in 8 minutes,Contradiction,second_minute,False
18,in 120 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 9 minutes,Contradiction,second_minute,False
19,in 120 seconds we will eat our meal,we will eat our meal in 10 minutes,Contradiction,second_minute,False
20,in 180 seconds class will end,class will end in 1 minutes,Contradiction,second_minute,False
21,in 180 seconds Jeopardy is starting,Jeopardy is starting in 2 minutes,Contradiction,second_minute,False
22,in 180 seconds the showing will begin,the showing will begin in 3 minutes,Entailment,second_minute,False
23,in 180 seconds our plane will be departing,our plane will be departing in 4 minutes,Contradiction,second_minute,False
24,in 180 seconds class will end,class will end in 5 minutes,Contradiction,second_minute,False
25,in 180 seconds Mary's party will start,Mary's party will start in 6 minutes,Contradiction,second_minute,False
26,in 180 seconds class will end,class will end in 7 minutes,Contradiction,second_minute,False
27,in 180 seconds the race will commence,the race will commence in 8 minutes,Contradiction,second_minute,False
28,in 180 seconds the grocery store will close,the grocery store will close in 9 minutes,Contradiction,second_minute,False
29,in 180 seconds class will end,class will end in 10 minutes,Contradiction,second_minute,False
30,in 240 seconds the coffee will be ready to drink,the coffee will be ready to drink in 1 minutes,Contradiction,second_minute,False
31,in 240 seconds the showing will begin,the showing will begin in 2 minutes,Contradiction,second_minute,False
32,in 240 seconds the grocery store will close,the grocery store will close in 3 minutes,Contradiction,second_minute,False
33,in 240 seconds we will eat our meal,we will eat our meal in 4 minutes,Entailment,second_minute,False
34,in 240 seconds the next song is ready to play,the next song is ready to play in 5 minutes,Contradiction,second_minute,False
35,in 240 seconds our plane will be departing,our plane will be departing in 6 minutes,Contradiction,second_minute,False
36,in 240 seconds class will start,class will start in 7 minutes,Contradiction,second_minute,False
37,in 240 seconds the President is giving a speech,the President is giving a speech in 8 minutes,Contradiction,second_minute,False
38,in 240 seconds class will start,class will start in 9 minutes,Contradiction,second_minute,False
39,in 240 seconds Luke will eat dinner,Luke will eat dinner in 10 minutes,Contradiction,second_minute,False
40,in 300 seconds the webpage should finish loading,the webpage should finish loading in 1 minutes,Contradiction,second_minute,False
41,in 300 seconds the oven will be ready,the oven will be ready in 2 minutes,Contradiction,second_minute,False
42,in 300 seconds the servers will be back up,the servers will be back up in 3 minutes,Contradiction,second_minute,False
43,in 300 seconds class will start,class will start in 4 minutes,Contradiction,second_minute,False
44,in 300 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 5 minutes,Entailment,second_minute,False
45,in 300 seconds the President is giving a speech,the President is giving a speech in 6 minutes,Contradiction,second_minute,False
46,in 300 seconds the oven will be ready,the oven will be ready in 7 minutes,Contradiction,second_minute,False
47,in 300 seconds the next song is ready to play,the next song is ready to play in 8 minutes,Contradiction,second_minute,False
48,in 300 seconds class will start,class will start in 9 minutes,Contradiction,second_minute,False
49,in 300 seconds dinner will be ready,dinner will be ready in 10 minutes,Contradiction,second_minute,False
