,Premise,Hypothesis,Label,Type,Prem Fixed,Temp Type
0,They got married at 12 PM.,They got married after 7 PM.,Contradiction,SINGLE_day_time_12,True,Forward
1,We went to Disneyland at 12 AM.,We went to Disneyland before 2 AM.,Entailment,SINGLE_day_time_12,True,Forward
2,Michael will buy the house at 7 PM.,Michael will buy the house after 11 PM.,Contradiction,SINGLE_day_time_12,True,Forward
3,Lily flew to New York at 8 PM.,Lily flew to New York before 4 PM.,Contradiction,SINGLE_day_time_12,True,Forward
4,The music concert starts at 10 PM.,The music concert starts before 11 AM.,Contradiction,SINGLE_day_time_12,True,Forward
5,The tiger was last spotted at 1 PM.,The tiger was last spotted before 6 AM.,Contradiction,SINGLE_day_time_12,True,Forward
6,I last had dinner with my friends at 5 PM.,I last had dinner with my friends after 7 PM.,Contradiction,SINGLE_day_time_12,True,Forward
7,He left his job at 1 AM.,He left his job before 9 AM.,Entailment,SINGLE_day_time_12,True,Forward
8,The conference was held at 12 PM.,The conference was held after 12 AM.,Entailment,SINGLE_day_time_12,True,Forward
9,The city had a huge power outage at 7 PM.,The city had a huge power outage after 2 PM.,Entailment,SINGLE_day_time_12,True,Forward
10,A tsunami hit the coast at 7 PM.,A tsunami hit the coast before 7 AM.,Contradiction,SINGLE_day_time_12,True,Forward
11,This team won the world cup at 5 AM.,This team won the world cup after 7 AM.,Contradiction,SINGLE_day_time_12,True,Forward
12,Her internship at Google began at 8 PM.,Her internship at Google began after 10 PM.,Contradiction,SINGLE_day_time_12,True,Forward
13,The country declared martial law at 12 AM.,The country declared martial law after 6 AM.,Contradiction,SINGLE_day_time_12,True,Forward
14,The price of this stock peaked at 10 PM.,The price of this stock peaked before 2 PM.,Contradiction,SINGLE_day_time_12,True,Forward
15,The failing company issued major layoffs at 2 PM.,The failing company issued major layoffs after 2 AM.,Entailment,SINGLE_day_time_12,True,Forward
16,The government budget comes out at 11 AM.,The government budget comes out before 2 PM.,Entailment,SINGLE_day_time_12,True,Forward
17,The prison sentence of that convict ends at 10 AM.,The prison sentence of that convict ends after 9 AM.,Entailment,SINGLE_day_time_12,True,Forward
18,This article was published at 6 PM.,This article was published after 11 PM.,Contradiction,SINGLE_day_time_12,True,Forward
19,I posted this picture on Instagram at 12 PM.,I posted this picture on Instagram before 4 AM.,Contradiction,SINGLE_day_time_12,True,Forward
20,They got married after 11 AM.,They got married before 10 PM.,Neutral,SINGLE_day_time_12,False,Forward
21,We went to Disneyland before 8 PM.,We went to Disneyland after 7 PM.,Neutral,SINGLE_day_time_12,False,Forward
22,Michael will buy the house before 8 PM.,Michael will buy the house after 12 PM.,Neutral,SINGLE_day_time_12,False,Forward
23,Lily flew to New York after 4 PM.,Lily flew to New York after 6 AM.,Entailment,SINGLE_day_time_12,False,Forward
24,The music concert starts after 8 PM.,The music concert starts after 9 AM.,Entailment,SINGLE_day_time_12,False,Forward
25,The tiger was last spotted before 3 PM.,The tiger was last spotted before 9 PM.,Entailment,SINGLE_day_time_12,False,Forward
26,I last had dinner with my friends before 2 PM.,I last had dinner with my friends before 5 PM.,Entailment,SINGLE_day_time_12,False,Forward
27,He left his job after 1 AM.,He left his job after 2 AM.,Neutral,SINGLE_day_time_12,False,Forward
