,Premise,Hypothesis,Label,Premise Preposition,Higher Duration Unit,Premise Forward/Backward
0,They will get married in 1 month.,They will get married before 1 day.,C,in,month,forward
1,They will get married in 1 month.,They will get married after 11 days.,E,in,month,forward
2,They will get married in 1 month.,They will get married before 165 days.,E,in,month,forward
3,They will get married in 1 month.,They will get married after 56 days.,C,in,month,forward
4,They will get married before 1 month.,They will get married before 29 days.,N,before,month,forward
5,They will get married before 1 month.,They will get married after 6 days.,N,before,month,forward
6,They will get married before 1 month.,They will get married before 136 days.,E,before,month,forward
7,They will get married before 1 month.,They will get married after 71 days.,C,before,month,forward
8,They will get married after 1 month.,They will get married before 9 days.,C,after,month,forward
9,They will get married after 1 month.,They will get married after 26 days.,E,after,month,forward
10,They will get married after 1 month.,They will get married before 45 days.,N,after,month,forward
11,They will get married after 1 month.,They will get married after 39 days.,N,after,month,forward
12,"In 1 month, they will get married.",They will get married before 25 days.,C,in,month,backward
13,"In 1 month, they will get married.",They will get married after 4 days.,E,in,month,backward
14,"In 1 month, they will get married.",They will get married before 63 days.,E,in,month,backward
15,"In 1 month, they will get married.",They will get married after 174 days.,C,in,month,backward
16,"Before 1 month, they will get married.",They will get married before 15 days.,N,before,month,backward
17,"Before 1 month, they will get married.",They will get married after 23 days.,N,before,month,backward
18,"Before 1 month, they will get married.",They will get married before 33 days.,E,before,month,backward
19,"Before 1 month, they will get married.",They will get married after 33 days.,C,before,month,backward
20,"After 1 month, they will get married.",They will get married before 3 days.,C,after,month,backward
21,"After 1 month, they will get married.",They will get married after 7 days.,E,after,month,backward
22,"After 1 month, they will get married.",They will get married before 130 days.,N,after,month,backward
23,"After 1 month, they will get married.",They will get married after 159 days.,N,after,month,backward
24,They will get married in 2 months.,They will get married before 45 days.,C,in,month,forward
25,They will get married in 2 months.,They will get married after 53 days.,E,in,month,forward
26,They will get married in 2 months.,They will get married before 82 days.,E,in,month,forward
27,They will get married in 2 months.,They will get married after 83 days.,C,in,month,forward
28,They will get married before 2 months.,They will get married before 46 days.,N,before,month,forward
29,They will get married before 2 months.,They will get married after 42 days.,N,before,month,forward
30,They will get married before 2 months.,They will get married before 201 days.,E,before,month,forward
31,They will get married before 2 months.,They will get married after 94 days.,C,before,month,forward
32,They will get married after 2 months.,They will get married before 53 days.,C,after,month,forward
33,They will get married after 2 months.,They will get married after 31 days.,E,after,month,forward
34,They will get married after 2 months.,They will get married before 164 days.,N,after,month,forward
35,They will get married after 2 months.,They will get married after 148 days.,N,after,month,forward
36,"In 2 months, they will get married.",They will get married before 31 days.,C,in,month,backward
37,"In 2 months, they will get married.",They will get married after 10 days.,E,in,month,backward
38,"In 2 months, they will get married.",They will get married before 74 days.,E,in,month,backward
39,"In 2 months, they will get married.",They will get married after 163 days.,C,in,month,backward
40,"Before 2 months, they will get married.",They will get married before 53 days.,N,before,month,backward
41,"Before 2 months, they will get married.",They will get married after 6 days.,N,before,month,backward
42,"Before 2 months, they will get married.",They will get married before 186 days.,E,before,month,backward
43,"Before 2 months, they will get married.",They will get married after 165 days.,C,before,month,backward
44,"After 2 months, they will get married.",They will get married before 2 days.,C,after,month,backward
45,"After 2 months, they will get married.",They will get married after 39 days.,E,after,month,backward
46,"After 2 months, they will get married.",They will get married before 93 days.,N,after,month,backward
47,"After 2 months, they will get married.",They will get married after 83 days.,N,after,month,backward
48,They will get married in 3 months.,They will get married before 27 days.,C,in,month,forward
49,They will get married in 3 months.,They will get married after 12 days.,E,in,month,forward
50,They will get married in 3 months.,They will get married before 94 days.,E,in,month,forward
51,They will get married in 3 months.,They will get married after 149 days.,C,in,month,forward
52,They will get married before 3 months.,They will get married before 65 days.,N,before,month,forward
53,They will get married before 3 months.,They will get married after 22 days.,N,before,month,forward
54,They will get married before 3 months.,They will get married before 116 days.,E,before,month,forward
55,They will get married before 3 months.,They will get married after 236 days.,C,before,month,forward
56,They will get married after 3 months.,They will get married before 5 days.,C,after,month,forward
57,They will get married after 3 months.,They will get married after 1 day.,E,after,month,forward
58,They will get married after 3 months.,They will get married before 200 days.,N,after,month,forward
59,They will get married after 3 months.,They will get married after 129 days.,N,after,month,forward
60,"In 3 months, they will get married.",They will get married before 86 days.,C,in,month,backward
61,"In 3 months, they will get married.",They will get married after 71 days.,E,in,month,backward
62,"In 3 months, they will get married.",They will get married before 149 days.,E,in,month,backward
63,"In 3 months, they will get married.",They will get married after 227 days.,C,in,month,backward
64,"Before 3 months, they will get married.",They will get married before 67 days.,N,before,month,backward
65,"Before 3 months, they will get married.",They will get married after 64 days.,N,before,month,backward
66,"Before 3 months, they will get married.",They will get married before 234 days.,E,before,month,backward
67,"Before 3 months, they will get married.",They will get married after 194 days.,C,before,month,backward
68,"After 3 months, they will get married.",They will get married before 43 days.,C,after,month,backward
69,"After 3 months, they will get married.",They will get married after 18 days.,E,after,month,backward
70,"After 3 months, they will get married.",They will get married before 239 days.,N,after,month,backward
71,"After 3 months, they will get married.",They will get married after 162 days.,N,after,month,backward
72,They will get married in 4 months.,They will get married before 91 days.,C,in,month,forward
73,They will get married in 4 months.,They will get married after 25 days.,E,in,month,forward
74,They will get married in 4 months.,They will get married before 234 days.,E,in,month,forward
75,They will get married in 4 months.,They will get married after 157 days.,C,in,month,forward
76,They will get married before 4 months.,They will get married before 1 day.,N,before,month,forward
77,They will get married before 4 months.,They will get married after 94 days.,N,before,month,forward
78,They will get married before 4 months.,They will get married before 265 days.,E,before,month,forward
79,They will get married before 4 months.,They will get married after 228 days.,C,before,month,forward
80,They will get married after 4 months.,They will get married before 54 days.,C,after,month,forward
81,They will get married after 4 months.,They will get married after 46 days.,E,after,month,forward
82,They will get married after 4 months.,They will get married before 149 days.,N,after,month,forward
83,They will get married after 4 months.,They will get married after 163 days.,N,after,month,forward
84,"In 4 months, they will get married.",They will get married before 71 days.,C,in,month,backward
85,"In 4 months, they will get married.",They will get married after 15 days.,E,in,month,backward
86,"In 4 months, they will get married.",They will get married before 161 days.,E,in,month,backward
87,"In 4 months, they will get married.",They will get married after 241 days.,C,in,month,backward
88,"Before 4 months, they will get married.",They will get married before 77 days.,N,before,month,backward
89,"Before 4 months, they will get married.",They will get married after 13 days.,N,before,month,backward
90,"Before 4 months, they will get married.",They will get married before 183 days.,E,before,month,backward
91,"Before 4 months, they will get married.",They will get married after 155 days.,C,before,month,backward
92,"After 4 months, they will get married.",They will get married before 58 days.,C,after,month,backward
93,"After 4 months, they will get married.",They will get married after 11 days.,E,after,month,backward
94,"After 4 months, they will get married.",They will get married before 153 days.,N,after,month,backward
95,"After 4 months, they will get married.",They will get married after 205 days.,N,after,month,backward
96,They will get married in 5 months.,They will get married before 25 days.,C,in,month,forward
97,They will get married in 5 months.,They will get married after 22 days.,E,in,month,forward
98,They will get married in 5 months.,They will get married before 158 days.,E,in,month,forward
99,They will get married in 5 months.,They will get married after 263 days.,C,in,month,forward
100,They will get married before 5 months.,They will get married before 36 days.,N,before,month,forward
101,They will get married before 5 months.,They will get married after 101 days.,N,before,month,forward
102,They will get married before 5 months.,They will get married before 174 days.,E,before,month,forward
103,They will get married before 5 months.,They will get married after 225 days.,C,before,month,forward
104,They will get married after 5 months.,They will get married before 113 days.,C,after,month,forward
105,They will get married after 5 months.,They will get married after 136 days.,E,after,month,forward
106,They will get married after 5 months.,They will get married before 181 days.,N,after,month,forward
107,They will get married after 5 months.,They will get married after 290 days.,N,after,month,forward
108,"In 5 months, they will get married.",They will get married before 11 days.,C,in,month,backward
109,"In 5 months, they will get married.",They will get married after 88 days.,E,in,month,backward
110,"In 5 months, they will get married.",They will get married before 303 days.,E,in,month,backward
111,"In 5 months, they will get married.",They will get married after 175 days.,C,in,month,backward
112,"Before 5 months, they will get married.",They will get married before 19 days.,N,before,month,backward
113,"Before 5 months, they will get married.",They will get married after 27 days.,N,before,month,backward
114,"Before 5 months, they will get married.",They will get married before 217 days.,E,before,month,backward
115,"Before 5 months, they will get married.",They will get married after 207 days.,C,before,month,backward
116,"After 5 months, they will get married.",They will get married before 59 days.,C,after,month,backward
117,"After 5 months, they will get married.",They will get married after 4 days.,E,after,month,backward
118,"After 5 months, they will get married.",They will get married before 196 days.,N,after,month,backward
119,"After 5 months, they will get married.",They will get married after 172 days.,N,after,month,backward
120,They will get married in 6 months.,They will get married before 180 days.,C,in,month,forward
121,They will get married in 6 months.,They will get married after 90 days.,E,in,month,forward
122,They will get married in 6 months.,They will get married before 204 days.,E,in,month,forward
123,They will get married in 6 months.,They will get married after 281 days.,C,in,month,forward
124,They will get married before 6 months.,They will get married before 104 days.,N,before,month,forward
125,They will get married before 6 months.,They will get married after 174 days.,N,before,month,forward
126,They will get married before 6 months.,They will get married before 191 days.,E,before,month,forward
127,They will get married before 6 months.,They will get married after 320 days.,C,before,month,forward
128,They will get married after 6 months.,They will get married before 64 days.,C,after,month,forward
129,They will get married after 6 months.,They will get married after 118 days.,E,after,month,forward
130,They will get married after 6 months.,They will get married before 234 days.,N,after,month,forward
131,They will get married after 6 months.,They will get married after 205 days.,N,after,month,forward
132,"In 6 months, they will get married.",They will get married before 93 days.,C,in,month,backward
