,Premise,Hypothesis,Label,Type,Dur Type,Next Cycle,Temp Type
0,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for 16 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Spread
1,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for 17 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Spread
2,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for 160 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Spread
3,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for 15 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Spread
4,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for more than 16 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Spread
5,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for more than 17 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Spread
6,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for more than 160 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Spread
7,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for more than 15 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Spread
8,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for less than 16 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Spread
9,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for less than 17 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Spread
10,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for less than 160 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Spread
11,Michael reached my house at 5 PM and left at 9 AM.,Michael visited my house for less than 15 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Spread
12,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for 15 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Spread
